Timestamp,Temperature,Humidity,Moisture
2023/05/11_14-10-43,33.5,81.0,0.0
2023/05/11_14-10-44,33.5,81.0,1.0
2023/05/11_14-10-54,0.0,0.0,0.0
2023/05/11_14-10-56,33.5,80.0,0.0
2023/05/11_14-10-58,33.5,81.0,0.0
2023/05/11_14-11-00,33.5,81.0,0.0
2023/05/11_14-11-01,0.0,0.0,0.0
2023/05/11_14-11-04,33.5,81.0,0.0
2023/05/11_14-11-05,33.5,81.0,0.0
2023/05/11_14-11-07,33.5,81.0,0.0
2023/05/11_14-11-08,33.5,81.0,0.0
2023/05/11_14-11-10,33.5,81.0,0.0
2023/05/11_14-11-12,33.5,80.0,1.0
2023/05/11_14-11-18,33.5,80.0,0.0
2023/05/11_14-11-19,33.5,80.0,0.0
2023/05/11_14-11-21,33.5,81.0,0.0
2023/05/11_14-11-23,33.5,80.0,0.0
2023/05/11_14-11-24,33.5,80.0,0.0
2023/05/11_14-11-26,33.5,80.0,0.0
2023/05/11_14-11-28,33.5,80.0,0.0
2023/05/11_14-11-29,33.5,80.0,0.0
2023/05/11_14-11-31,33.5,80.0,1.0
2023/05/11_14-11-33,33.5,80.0,0.0
2023/05/11_14-11-35,33.5,80.0,0.0
2023/05/11_14-11-37,33.4,80.0,0.0
2023/05/11_14-11-38,33.5,80.0,0.0
2023/05/11_14-11-40,33.5,80.0,0.0
2023/05/11_14-11-42,33.5,80.0,0.0
2023/05/11_14-11-43,33.5,81.0,0.0
2023/05/11_14-11-45,33.5,82.0,0.0
2023/05/11_14-11-47,33.5,81.0,0.0
2023/05/11_14-11-48,33.6,81.0,0.0
2023/05/11_14-11-50,33.5,81.0,0.0
2023/05/11_14-11-52,33.6,81.0,1.0
2023/05/11_14-11-54,33.6,81.0,0.0
2023/05/11_14-11-55,33.6,81.0,0.0
2023/05/11_14-11-57,33.5,81.0,0.0
2023/05/11_14-11-59,33.6,81.0,0.0
2023/05/11_14-12-00,33.6,81.0,1.0
2023/05/11_14-12-03,33.6,82.0,0.0
2023/05/11_14-12-05,33.5,82.0,0.0
2023/05/11_14-12-07,0.0,0.0,0.0
2023/05/11_14-12-09,33.6,81.0,0.0
2023/05/11_14-12-11,33.5,81.0,0.0
2023/05/11_14-12-12,33.5,81.0,0.0
2023/05/11_14-12-14,33.5,81.0,0.0
2023/05/11_14-12-16,33.6,81.0,0.0
2023/05/11_14-12-17,33.6,81.0,0.0
2023/05/11_14-12-19,33.5,81.0,0.0
2023/05/11_14-12-20,33.5,81.0,0.0
2023/05/11_14-12-22,0.0,0.0,0.0
2023/05/11_14-12-24,33.5,81.0,0.0
2023/05/11_14-12-26,33.5,81.0,0.0
2023/05/11_14-12-28,33.6,81.0,0.0
2023/05/11_14-12-30,33.6,81.0,0.0
2023/05/11_14-12-31,33.5,80.0,0.0
2023/05/11_14-12-33,33.5,80.0,0.0
2023/05/11_14-12-34,33.5,80.0,0.0
2023/05/11_14-12-36,0.0,0.0,0.0
2023/05/11_14-24-31,33.4,80.0,0.0
2023/05/11_14-24-33,33.4,81.0,0.0
2023/05/11_14-24-35,0.0,0.0,0.0
2023/05/11_14-24-37,0.0,0.0,1.0
2023/05/11_14-25-09,33.4,81.0,0.0
2023/05/11_14-25-10,33.4,81.0,0.0
2023/05/11_14-25-12,33.4,80.0,0.0
2023/05/11_14-25-14,33.4,80.0,0.0
2023/05/11_14-25-16,33.5,80.0,1.0
2023/05/11_14-25-49,33.5,81.0,0.0
2023/05/11_14-25-51,33.4,81.0,0.0
2023/05/11_14-25-53,33.4,81.0,1.0
2023/05/11_14-25-58,33.5,81.0,0.0
2023/05/11_14-25-59,33.4,81.0,1.0
2023/05/11_14-26-01,33.5,81.0,0.0
2023/05/11_14-26-03,0.0,0.0,0.0
2023/05/11_14-30-12,33.5,81.0,1.0
2023/05/11_14-30-22,33.4,82.0,0.0
2023/05/11_14-34-17,33.3,83.0,0.0
2023/05/11_14-34-25,0.0,0.0,1.0
2023/05/11_14-34-28,33.3,83.0,0.0
2023/05/11_14-34-33,0.0,0.0,1.0
2023/05/11_14-34-35,33.3,83.0,1.0
2023/05/11_14-34-37,33.3,83.0,1.0
2023/05/11_14-34-40,33.3,83.0,1.0
2023/05/11_14-34-42,33.3,83.0,1.0
2023/05/11_14-36-01,33.4,83.0,1.0
2023/05/11_14-36-18,33.3,83.0,1.0
2023/05/11_14-36-20,33.3,83.0,0.0
2023/05/11_14-36-33,33.2,83.0,1.0
2023/05/11_14-36-34,33.3,83.0,1.0
2023/05/11_14-36-36,33.3,83.0,1.0
2023/05/11_14-36-38,33.3,84.0,1.0
2023/05/11_14-36-40,0.0,0.0,1.0
2023/05/11_14-36-42,33.3,84.0,1.0
2023/05/11_14-36-44,33.3,84.0,1.0
2023/05/11_14-36-46,33.2,86.0,1.0
2023/05/11_14-36-47,33.3,83.0,1.0
2023/05/11_14-36-49,33.3,84.0,1.0
2023/05/11_14-36-51,33.3,83.0,1.0
2023/05/11_14-36-53,0.0,0.0,1.0
2023/05/11_14-36-55,33.3,84.0,1.0
2023/05/11_14-36-57,33.3,84.0,1.0
2023/05/11_14-36-59,33.3,83.0,1.0
2023/05/11_14-37-01,33.3,84.0,1.0
2023/05/11_14-37-03,33.3,84.0,1.0
2023/05/11_14-37-05,32.9,83.0,1.0
2023/05/11_14-37-07,33.3,83.0,0.0
2023/05/11_14-37-11,33.3,83.0,1.0
2023/05/11_14-37-12,33.3,83.0,1.0
2023/05/11_14-37-26,33.3,83.0,1.0
2023/05/11_14-37-28,33.3,84.0,1.0
2023/05/11_14-37-30,33.3,84.0,1.0
2023/05/11_14-37-31,33.3,83.0,0.0
2023/05/11_14-37-37,33.4,83.0,1.0
2023/05/11_14-37-39,33.3,83.0,1.0
2023/05/11_14-37-41,33.3,83.0,1.0
2023/05/11_14-37-43,33.4,83.0,1.0
2023/05/11_14-37-44,33.4,83.0,1.0
2023/05/11_14-37-46,33.4,83.0,1.0
2023/05/11_14-37-48,33.4,82.0,1.0
2023/05/11_14-37-50,33.4,82.0,1.0
2023/05/11_14-37-52,33.4,82.0,1.0
2023/05/11_14-37-53,0.0,0.0,1.0
2023/05/11_14-37-56,33.3,82.0,1.0
2023/05/11_14-37-57,33.4,82.0,1.0
2023/05/11_14-37-59,33.4,82.0,1.0
2023/05/11_14-38-01,33.3,82.0,1.0
2023/05/11_14-38-04,0.0,0.0,1.0
2023/05/11_14-38-06,33.3,82.0,0.0
2023/05/11_14-38-09,33.4,82.0,1.0
2023/05/11_14-38-11,33.3,82.0,1.0
2023/05/11_14-38-13,33.4,82.0,1.0
